DATE;TIME;OPEN;HIGH>;LOW;CLOSE;VOL
04/03/19;00:00:00;3786.9300000;3947.3300000;3672.3900000;3900.9200000;47303
11/03/19;00:00:00;3900.9300000;4037.4700000;3779.2800000;3967.0100000;41807
18/03/19;00:00:00;3967.0100000;4056.3300000;3915.1400000;3969.5200000;37792
25/03/19;00:00:00;3969.5200000;4131.8700000;3858.0000000;4094.9900000;38709
01/04/19;00:00:00;4095.0000000;5345.0000000;4051.5300000;5194.7900000;124144
08/04/19;00:00:00;5194.7600000;5488.0000000;4901.9900000;5164.2700000;73213
15/04/19;00:00:00;5163.8100000;5359.9800000;4945.5400000;5297.6400000;49240
22/04/19;00:00:00;5297.6400000;5650.0100000;4967.0000000;5155.0000000;79083
29/04/19;00:00:00;5155.0000000;5846.8800000;5072.0100000;5715.8600000;40881
06/05/19;00:00:00;5715.8600000;7581.8200000;5564.9300000;6979.7600000;79102
13/05/19;00:00:00;6979.2400000;8388.0000000;6600.0000000;8200.0000000;105457
20/05/19;00:00:00;8194.3400000;8793.9700000;7467.1000000;8731.7200000;63570
27/05/19;00:00:00;8732.3400000;9090.0000000;7972.0000000;8736.5500000;95644
03/06/19;00:00:00;8736.5500000;8742.4800000;7427.0000000;7634.5800000;91117
10/06/19;00:00:00;7635.0500000;9388.0000000;7516.9000000;8975.0000000;80760
17/06/19;00:00:00;8975.7800000;11284.4400000;8919.7200000;10833.0200000;129722
24/06/19;00:00:00;10833.0000000;13868.4400000;10300.0000000;10761.2600000;285011
01/07/19;00:00:00;10761.2600000;12064.2600000;9651.0000000;11474.4200000;182891
08/07/19;00:00:00;11474.4400000;13202.6300000;10084.4000000;10185.0300000;181066
15/07/19;00:00:00;10190.9100000;11112.3100000;9071.0000000;10590.7000000;188436
22/07/19;00:00:00;10590.7100000;10688.1400000;9108.8800000;9533.0000000;99146
29/07/19;00:00:00;9533.0000000;11089.7400000;9356.7500000;10977.5100000;78769
05/08/19;00:00:00;10977.9800000;12320.4000000;10977.9800000;11540.7600000;103904
12/08/19;00:00:00;11540.7600000;11555.5500000;9470.0000000;10315.4800000;99435
19/08/19;00:00:00;10315.4800000;10953.0000000;9759.0000000;10138.7200000;70590
26/08/19;00:00:00;10142.0000000;10680.0000000;9321.7300000;9766.5200000;66542
02/09/19;00:00:00;9766.6200000;10939.3400000;9756.5400000;10398.9700000;68508
09/09/19;00:00:00;10401.1300000;10541.7500000;9851.9700000;10304.4600000;46416
16/09/19;00:00:00;10303.6600000;10379.9800000;9585.8600000;10026.8000000;49860
23/09/19;00:00:00;10026.7900000;10051.1500000;7712.4500000;8052.4000000;133241
30/09/19;00:00:00;8054.0900000;8535.0000000;7701.0000000;7859.7900000;62139
07/10/19;00:00:00;7859.7900000;8826.0000000;7762.3500000;8282.9700000;59280
14/10/19;00:00:00;8282.9600000;8420.0000000;7814.0800000;8236.1200000;44232
21/10/19;00:00:00;8235.9400000;10540.4900000;7296.4400000;9548.8400000;139179
28/10/19;00:00:00;9555.8900000;9939.6900000;8950.0000000;9206.5200000;64009
04/11/19;00:00:00;9206.5200000;9600.0000000;8660.0000000;9032.2300000;51485
11/11/19;00:00:00;9032.2300000;9067.3400000;8361.0000000;8500.0100000;40529
18/11/19;00:00:00;8501.0000000;8501.0100000;6775.4700000;6908.6400000;91186
25/11/19;00:00:00;6908.6400000;7870.1000000;6526.0000000;7404.2700000;92246
02/12/19;00:00:00;7405.3300000;7775.0000000;7080.0000000;7520.0000000;57187
09/12/19;00:00:00;7520.0000000;7659.3800000;7006.0100000;7111.0000000;47029
16/12/19;00:00:00;7111.0000000;7521.5500000;6430.0000000;7513.0600000;80075
23/12/19;00:00:00;7514.7400000;7688.9900000;7053.3200000;7384.8900000;53200
30/12/19;00:00:00;7384.5700000;7488.8700000;6854.6700000;7355.4000000;49875
06/01/20;00:00:00;7355.4000000;8469.3900000;7343.1700000;8180.8100000;89611
13/01/20;00:00:00;8180.8100000;9194.9900000;8041.9500000;8697.5300000;93882
20/01/20;00:00:00;8697.5300000;8791.7600000;8216.7100000;8595.0000000;48396
27/01/20;00:00:00;8595.0000000;9574.6800000;8556.6000000;9323.5000000;73439
03/02/20;00:00:00;9325.0100000;10178.9100000;9078.0500000;10168.3500000;71886
10/02/20;00:00:00;10168.3600000;10522.5100000;9612.1200000;9921.0000000;90229
17/02/20;00:00:00;9920.5200000;10315.0000000;9280.9800000;9965.0100000;66663
24/02/20;00:00:00;9965.0000000;10030.0000000;8400.0000000;8522.3100000;83154
02/03/20;00:00:00;8522.3000000;9214.6700000;8002.2000000;8037.7600000;64556
09/03/20;00:00:00;8037.7300000;8187.0300000;3858.0000000;5345.3500000;377094
16/03/20;00:00:00;5346.8600000;6990.0000000;4432.3000000;5818.2500000;321320
23/03/20;00:00:00;5815.2400000;6983.3100000;5678.2000000;5877.2100000;188675
30/03/20;00:00:00;5878.9800000;7292.1100000;5853.0000000;6778.2500000;116364
06/04/20;00:00:00;6778.6400000;7466.0000000;6750.0000000;6908.1300000;118995
13/04/20;00:00:00;6908.1200000;7308.0000000;6456.0000000;7130.7100000;111946
20/04/20;00:00:00;7130.7000000;7775.0000000;6748.7200000;7706.4000000;99239
27/04/20;00:00:00;7706.4000000;9478.6600000;7635.6900000;8909.9500000;169336
04/05/20;00:00:00;8907.8500000;10079.0000000;8106.7000000;8729.8600000;197056
11/05/20;00:00:00;8729.8600000;9943.9300000;8185.0000000;9676.6300000;159818
18/05/20;00:00:00;9677.4500000;9957.2500000;8680.7000000;8715.7300000;111485
25/05/20;00:00:00;8715.6900000;9764.0000000;8632.9300000;9446.5700000;128780
01/06/20;00:00:00;9445.8300000;10428.0000000;9270.0000000;9750.1200000;109317
08/06/20;00:00:00;9750.1200000;10018.6700000;9050.0000000;9325.0000000;78982
15/06/20;00:00:00;9328.6300000;9592.0400000;8895.0100000;9286.1400000;61965
22/06/20;00:00:00;9286.1400000;9792.0000000;8815.0100000;9113.2400000;71245
29/06/20;00:00:00;9113.2300000;9297.2000000;8905.8400000;9074.3900000;51360
06/07/20;00:00:00;9074.3700000;9475.0000000;9061.5900000;9303.3700000;50455
13/07/20;00:00:00;9303.3800000;9339.6100000;9005.0000000;9212.8700000;46169
20/07/20;00:00:00;9214.0100000;10150.0000000;9131.0000000;9941.0000000;67155
27/07/20;00:00:00;9941.0000000;12134.2900000;9935.0000000;11068.5400000;160990
03/08/20;00:00:00;11067.4600000;11920.0000000;10911.7400000;11688.4800000;99205
10/08/20;00:00:00;11688.2500000;12086.2200000;11120.0000000;11918.8400000;106343
17/08/20;00:00:00;11918.8400000;12486.6100000;11370.0000000;11650.0100000;96229
24/08/20;00:00:00;11650.0100000;11823.6200000;11102.7300000;11716.0100000;65558
31/08/20;00:00:00;11716.0000000;12086.0000000;9813.0000000;10257.8600000;130648
07/09/20;00:00:00;10258.6700000;10582.3600000;9819.8300000;10336.7600000;72759
14/09/20;00:00:00;10336.7600000;11179.9000000;10253.0000000;10920.8900000;66429
21/09/20;00:00:00;10920.9400000;10994.0000000;10135.2200000;10778.2000000;58840
28/09/20;00:00:00;10779.0000000;10956.1100000;10363.7600000;10671.1100000;53235
05/10/20;00:00:00;10670.0100000;11498.9800000;10524.0000000;11374.0100000;55643
12/10/20;00:00:00;11374.0100000;11736.0200000;11187.6000000;11514.2000000;52721
19/10/20;00:00:00;11514.2000000;13361.0000000;11416.0400000;13045.0000000;104495
26/10/20;00:00:00;13045.0200000;14098.9200000;12785.0000000;13771.5900000;100436
02/11/20;00:00:00;13771.7000000;15977.6700000;13215.0000000;15482.9000000;135449
09/11/20;00:00:00;15482.8900000;16491.9200000;14817.1400000;15966.8900000;102939
16/11/20;00:00:00;15970.0000000;18980.0000000;15879.0000000;18437.6600000;135655
23/11/20;00:00:00;18437.1800000;19500.0000000;16200.0000000;18202.0400000;158849
30/11/20;00:00:00;18202.0200000;19915.1400000;18109.0000000;19375.6000000;118745
07/12/20;00:00:00;19375.6000000;19432.5700000;17580.0000000;19166.6500000;95948
14/12/20;00:00:00;19166.6500000;24300.0000000;18967.6800000;23476.5100000;171757
21/12/20;00:00:00;23476.5100000;28387.0000000;21913.8400000;26258.6500000;158392
28/12/20;00:00:00;26255.1600000;34810.0000000;25833.7300000;33080.6600000;204760
04/01/21;00:00:00;33082.8400000;41986.3700000;27678.0000000;38171.5700000;303802
11/01/21;00:00:00;38168.8900000;40127.6600000;30100.0000000;35820.0000000;298706
18/01/21;00:00:00;35820.0100000;37857.0000000;28732.0000000;32288.5600000;189370
25/01/21;00:00:00;32293.1800000;38664.3300000;29156.0000000;33137.7400000;240147
01/02/21;00:00:00;33137.7500000;41000.0000000;32333.0000000;38871.4200000;162707
08/02/21;00:00:00;38871.4300000;49700.0000000;38057.0100000;48680.6900000;94477
15/02/21;00:00:00;48667.2300000;58367.0000000;45768.4600000;57489.1600000;69330
22/02/21;00:00:00;57489.1600000;57577.6900000;43016.0000000;45231.7500000;236807
01/03/21;00:00:00;45231.7400000;52666.0000000;45042.1300000;50978.6100000;138123
08/03/21;00:00:00;50976.2200000;61788.4500000;49328.6200000;58972.7000000;150316
15/03/21;00:00:00;58972.7100000;60601.0700000;53221.0000000;57363.3200000;138153
22/03/21;00:00:00;57377.2900000;58421.6800000;50305.0000000;55778.8200000;130540
29/03/21;00:00:00;55781.2200000;60055.0200000;54900.0000000;58215.9400000;86831
05/04/21;00:00:00;58216.7300000;61218.9700000;55400.0000000;59985.2600000;73662
12/04/21;00:00:00;59983.6600000;64899.0000000;51300.0000000;56274.4100000;130716
